BKNG,,,,,,,
Date,PX_LAST,3MO_PUT_IMP_VOL,6MO_PUT_IMP_VOL,12MO_PUT_IMP_VOL,3MO_CALL_IMP_VOL,6MO_CALL_IMP_VOL,12MO_CALL_IMP_VOL
1/3/2005,23.73,45.307,45.828,45.892,45.307,45.828,45.892
1/4/2005,23.88,46.304,45.909,45.65,46.304,45.909,45.65
1/5/2005,23.59,47.014,45.888,45.708,47.014,45.888,45.708
1/6/2005,24.18,48.083,46.327,45.702,48.083,46.327,45.702
1/7/2005,25.01,46.652,45.373,45.656,46.652,45.373,45.656
1/10/2005,25.03,47.922,45.449,45.844,47.922,45.449,45.844
1/11/2005,24.35,47.965,46.402,46.195,47.965,46.402,46.195
1/12/2005,24.23,48.141,46.207,45.847,48.141,46.207,45.847
1/13/2005,24.06,48.288,46.434,46.147,48.288,46.434,46.147
1/14/2005,23.89,48.082,46.333,46.023,48.082,46.333,46.023
1/18/2005,24.47,48.058,46.566,45.657,48.058,46.566,45.657
1/19/2005,24.12,47.89,46.413,45.897,47.89,46.413,45.897
1/20/2005,23.57,49.741,47.377,46.198,49.741,47.377,46.198
1/21/2005,22.99,51.847,47.281,46.436,51.847,47.281,46.436
1/24/2005,22.54,53.054,47.439,46.468,53.054,47.439,46.468
1/25/2005,22.24,53.437,47.411,46.407,53.437,47.411,46.407
1/26/2005,22.52,53.869,48.1,46.938,53.869,48.1,46.938
1/27/2005,22.36,53.775,48.013,46.579,53.775,48.013,46.579
1/28/2005,22.11,53.921,48.189,46.446,53.921,48.189,46.446
1/31/2005,22.59,52.353,46.892,45.281,52.353,46.892,45.281
2/1/2005,22.4,50.837,45.537,44.458,50.837,45.537,44.458
2/2/2005,22.27,50.801,45.676,44.227,50.801,45.676,44.227
2/3/2005,22.2,50.25,45.454,44.054,50.25,45.454,44.054
2/4/2005,21.82,50.828,45.904,44.465,50.828,45.904,44.465
2/7/2005,21.82,50.491,46.064,44.427,50.491,46.064,44.427
2/8/2005,21.2,50.8,46.429,44.289,50.8,46.429,44.289
2/9/2005,21.03,48.432,44.225,43.041,48.432,44.225,43.041
2/10/2005,20.94,48.09,43.893,43.251,48.09,43.893,43.251
2/11/2005,21.4,47.693,44.043,42.798,47.693,44.043,42.798
2/14/2005,21.39,48.948,44.488,42.948,48.948,44.488,42.948
