COF,,,,,,,
Date,PX_LAST,3MO_PUT_IMP_VOL,6MO_PUT_IMP_VOL,12MO_PUT_IMP_VOL,3MO_CALL_IMP_VOL,6MO_CALL_IMP_VOL,12MO_CALL_IMP_VOL
1/3/2005,83.8,23.831,24.402,26.533,23.831,24.402,26.533
1/4/2005,82.25,24.492,24.786,26.886,24.492,24.786,26.886
1/5/2005,81.43,24.646,25.075,27.079,24.646,25.075,27.079
1/6/2005,82.45,24.31,24.588,26.572,24.31,24.588,26.572
1/7/2005,81.96,24.632,24.696,26.627,24.632,24.696,26.627
1/10/2005,82.31,24.918,24.808,26.642,24.918,24.808,26.642
1/11/2005,82.09,24.242,24.498,26.293,24.242,24.498,26.293
1/12/2005,82.47,24.359,24.458,26.451,24.359,24.458,26.451
1/13/2005,82.04,24.588,24.595,26.243,24.588,24.595,26.243
1/14/2005,82.12,24.348,24.655,26.245,24.348,24.655,26.245
1/18/2005,82.93,23.921,24.154,25.644,23.921,24.154,25.644
1/19/2005,82.1,25.675,25.346,26.389,25.675,25.346,26.389
1/20/2005,78.66,23.715,24.115,25.445,23.715,24.115,25.445
1/21/2005,78.39,24.28,24.47,25.402,24.28,24.47,25.402
1/24/2005,76.75,24.248,24.501,25.785,24.248,24.501,25.785
1/25/2005,77.06,23.615,24.108,25.634,23.615,24.108,25.634
1/26/2005,78.75,21.978,23.155,24.777,21.978,23.155,24.777
1/27/2005,77.62,22.216,23.27,24.841,22.216,23.27,24.841
1/28/2005,77.62,21.932,23.23,24.983,21.932,23.23,24.983
1/31/2005,78.28,21.494,22.948,24.369,21.494,22.948,24.369
2/1/2005,79.46,20.663,22.218,24.026,20.663,22.218,24.026
2/2/2005,78.47,20.986,22.541,24.105,20.986,22.541,24.105
2/3/2005,78.42,21.19,22.581,24.094,21.19,22.581,24.094
2/4/2005,78.83,20.723,22.286,23.922,20.723,22.286,23.922
2/7/2005,78.57,20.703,22.368,23.903,20.703,22.368,23.903
2/8/2005,77.32,21.625,22.896,24.374,21.625,22.896,24.374
2/9/2005,76.83,22.108,23.37,25.111,22.108,23.37,25.111
2/10/2005,77.2,21.798,23.231,24.953,21.798,23.231,24.953
2/11/2005,78.4,21.131,22.888,24.733,21.131,22.888,24.733
2/14/2005,78.85,21.083,22.683,24.67,21.083,22.683,24.67
2/15/2005,78.5,21.041,22.861,24.869,21.041,22.861,24.869
2/16/2005,78.63,21.044,22.723,24.675,21.044,22.723,24.675
2/17/2005,77.88,21.436,22.935,24.846,21.436,22.935,24.846
2/18/2005,76.82,22.222,23.642,25.311,22.222,23.642,25.311
2/22/2005,75,23.436,24.393,26.036,23.436,24.393,26.036
2/23/2005,75.42,22.638,24.052,25.702,22.638,24.052,25.702
2/24/2005,76,22.461,23.819,25.533,22.461,23.819,25.533
2/25/2005,77.35,21.625,23.425,25.316,21.625,23.425,25.316
2/28/2005,76.68,21.321,23.103,25.166,21.321,23.103,25.166
3/1/2005,76.75,22.106,23.739,25.477,22.106,23.739,25.477
3/2/2005,76.54,22.192,23.731,25.787,22.192,23.731,25.787
3/3/2005,76.6,22.25,23.768,25.79,22.25,23.768,25.79
3/4/2005,78.08,21.352,23.021,25.175,21.352,23.021,25.175
3/7/2005,76,20.998,23.031,24.74,20.998,23.031,24.74
3/8/2005,78.75,20.19,22.342,24.31,20.19,22.342,24.31
3/9/2005,78.4,20.046,22.307,24.491,20.046,22.307,24.491
3/10/2005,78.71,20.048,22.216,24.396,20.048,22.216,24.396
3/11/2005,77.88,20.802,22.316,24.703,20.802,22.316,24.703
3/14/2005,79.01,20.899,22.524,24.655,20.899,22.524,24.655
3/15/2005,78.2,21.224,22.588,24.875,21.224,22.588,24.875
3/16/2005,77,21.577,23.112,25.165,21.577,23.112,25.165
3/17/2005,76.93,21.59,23.311,25.04,21.59,23.311,25.04
3/18/2005,76.64,21.548,23.127,25.135,21.548,23.127,25.135
3/21/2005,76.96,21.29,23.057,25.37,21.29,23.057,25.37
3/22/2005,75.64,21.712,23.391,25.63,21.712,23.391,25.63
3/23/2005,75.81,22.016,24.121,26.043,22.016,24.121,26.043
3/24/2005,75.05,21.98,24.339,26.157,21.98,24.339,26.157
3/28/2005,74.16,22.583,24.971,26.48,22.583,24.971,26.48
3/29/2005,73.76,23.045,25.21,26.779,23.045,25.21,26.779
3/30/2005,74.71,22.688,24.763,26.52,22.688,24.763,26.52
3/31/2005,74.77,22.754,24.811,26.472,22.754,24.811,26.472
4/1/2005,74.68,23.119,24.889,26.533,23.119,24.889,26.533
4/4/2005,74.83,23.865,25.194,26.659,23.865,25.194,26.659
4/5/2005,75.1,23.126,24.826,26.219,23.126,24.826,26.219
4/6/2005,75.17,22.997,24.701,26.231,22.997,24.701,26.231
4/7/2005,75.28,23.167,24.714,26.242,23.167,24.714,26.242
4/8/2005,74.36,23.226,24.773,26.311,23.226,24.773,26.311
4/11/2005,74.05,23.679,25.1,26.353,23.679,25.1,26.353
4/12/2005,74.9,23.042,24.659,26.074,23.042,24.659,26.074
4/13/2005,74.53,23.74,24.993,26.357,23.74,24.993,26.357
4/14/2005,74.23,24.014,25.134,26.446,24.014,25.134,26.446
4/15/2005,73,24.979,25.536,26.811,24.979,25.536,26.811
4/18/2005,72.84,25.737,25.844,26.971,25.737,25.844,26.971
4/19/2005,73.45,25.634,25.805,26.841,25.634,25.805,26.841
4/20/2005,72.24,26.313,26.345,27.465,26.313,26.345,27.465
4/21/2005,71.63,25.323,26.093,27.572,25.323,26.093,27.572
4/22/2005,70.65,25.347,26.397,28.001,25.347,26.397,28.001
4/25/2005,71.79,24.271,25.709,27.309,24.271,25.709,27.309
4/26/2005,70.99,24.886,26.226,27.767,24.886,26.226,27.767
4/27/2005,71.61,24.817,25.983,27.619,24.817,25.983,27.619
4/28/2005,70.95,25.057,26.179,27.746,25.057,26.179,27.746
4/29/2005,70.89,25.538,26.529,28.007,25.538,26.529,28.007
5/2/2005,71.72,25.536,26.324,27.808,25.536,26.324,27.808
5/3/2005,71.57,25.783,26.63,27.968,25.783,26.63,27.968
5/4/2005,72.5,24.185,25.785,27.289,24.185,25.785,27.289
5/5/2005,72,24.784,26.146,27.46,24.784,26.146,27.46
5/6/2005,71.56,24.43,25.943,27.464,24.43,25.943,27.464
5/9/2005,71.71,24.589,25.771,27.182,24.589,25.771,27.182
5/10/2005,71.08,25.235,26.296,27.592,25.235,26.296,27.592
5/11/2005,71.96,24.625,25.666,27.135,24.625,25.666,27.135
5/12/2005,71.22,25.404,26.428,27.797,25.404,26.428,27.797
5/13/2005,71.02,25.5,26.598,27.947,25.5,26.598,27.947
5/16/2005,72.69,25.085,26.106,27.571,25.085,26.106,27.571
5/17/2005,73.26,24.841,25.872,27.303,24.841,25.872,27.303
5/18/2005,74.2,24.371,25.567,27.026,24.371,25.567,27.026
5/19/2005,74.51,23.318,24.865,26.213,23.318,24.865,26.213
5/20/2005,74.34,23.005,24.736,26.235,23.005,24.736,26.235
5/23/2005,74.12,23.061,24.437,25.824,23.061,24.437,25.824
5/24/2005,74.2,22.531,24.152,25.609,22.531,24.152,25.609
5/25/2005,73.99,22.732,24.298,25.787,22.732,24.298,25.787
5/26/2005,74.37,22.429,24.102,25.829,22.429,24.102,25.829
5/27/2005,74.87,21.965,23.693,25.524,21.965,23.693,25.524
5/31/2005,75.4,22.525,23.982,25.613,22.525,23.982,25.613
6/1/2005,75.53,21.899,23.68,25.411,21.899,23.68,25.411
6/2/2005,75.46,21.797,23.545,25.364,21.797,23.545,25.364
6/3/2005,74.93,21.751,23.829,25.451,21.751,23.829,25.451
6/6/2005,74.75,22.264,24.004,25.36,22.264,24.004,25.36
6/7/2005,75,22.422,23.941,25.511,22.422,23.941,25.511
6/8/2005,74.88,22.129,23.949,25.319,22.129,23.949,25.319
6/9/2005,75.32,21.861,23.782,25.06,21.861,23.782,25.06
6/10/2005,74.54,21.832,23.66,25.104,21.832,23.66,25.104
6/13/2005,74.65,22.054,23.677,25.091,22.054,23.677,25.091
6/14/2005,74.4,21.374,23.261,24.586,21.374,23.261,24.586
6/15/2005,75.08,21.326,23.109,24.475,21.326,23.109,24.475
