CVS,,,,,,,
Date,PX_LAST,3MO_PUT_IMP_VOL,6MO_PUT_IMP_VOL,12MO_PUT_IMP_VOL,3MO_CALL_IMP_VOL,6MO_CALL_IMP_VOL,12MO_CALL_IMP_VOL
1/3/2005,22.5,21.851,21.681,22.376,21.851,21.681,22.376
1/4/2005,22.245,21.838,21.717,22.376,21.838,21.717,22.376
1/5/2005,22.625,21.739,21.59,22.297,21.739,21.59,22.297
1/6/2005,22.63,21.334,21.189,22.135,21.334,21.189,22.135
1/7/2005,22.875,20.889,20.947,22.086,20.889,20.947,22.086
1/10/2005,23.005,20.717,20.897,22.291,20.717,20.897,22.291
1/11/2005,23.555,20.049,20.533,21.745,20.049,20.533,21.745
1/12/2005,23.54,19.902,20.512,21.859,19.902,20.512,21.859
1/13/2005,23.34,20.379,20.611,22.242,20.379,20.611,22.242
1/14/2005,23.5,19.949,20.575,22.112,19.949,20.575,22.112
1/18/2005,23.75,19.588,19.992,21.971,19.588,19.992,21.971
1/19/2005,23.63,19.735,20.17,21.933,19.735,20.17,21.933
1/20/2005,23.335,20.234,20.521,22.21,20.234,20.521,22.21
1/21/2005,22.945,20.538,20.647,22.235,20.538,20.647,22.235
1/24/2005,22.555,20.853,20.855,22.528,20.853,20.855,22.528
1/25/2005,22.785,20.753,20.889,22.35,20.753,20.889,22.35
1/26/2005,22.75,20.518,20.748,22.272,20.518,20.748,22.272
1/27/2005,22.82,20.246,20.671,21.949,20.246,20.671,21.949
1/28/2005,22.91,19.917,20.572,21.879,19.917,20.572,21.879
1/31/2005,23.175,20.027,20.556,21.703,20.027,20.556,21.703
2/1/2005,23.265,20.587,20.848,21.998,20.587,20.848,21.998
2/2/2005,24.13,17.765,18.815,20.543,17.765,18.815,20.543
2/3/2005,24.595,17.541,18.385,20.585,17.541,18.385,20.585
2/4/2005,24.925,17.315,18.681,20.377,17.315,18.681,20.377
2/7/2005,24.725,17.953,18.906,20.603,17.953,18.906,20.603
2/8/2005,24.66,17.267,18.663,20.464,17.267,18.663,20.464
2/9/2005,24.34,17.81,19.039,20.681,17.81,19.039,20.681
2/10/2005,24.52,17.554,18.967,20.753,17.554,18.967,20.753
2/11/2005,24.95,17.314,18.734,20.441,17.314,18.734,20.441
2/14/2005,24.48,18.424,19.396,20.843,18.424,19.396,20.843
2/15/2005,24.275,18.902,19.205,21.037,18.902,19.205,21.037
2/16/2005,24.425,18.384,19.231,20.729,18.384,19.231,20.729
2/17/2005,24.385,18.269,19.227,20.529,18.269,19.227,20.529
2/18/2005,24.315,18.616,19.298,20.88,18.616,19.298,20.88
2/22/2005,23.875,19.571,19.757,21.144,19.571,19.757,21.144
2/23/2005,24.025,19.18,19.801,20.98,19.18,19.801,20.98
2/24/2005,24.705,18.181,19.279,20.553,18.181,19.279,20.553
2/25/2005,24.935,18.001,19.169,20.663,18.001,19.169,20.663
2/28/2005,24.915,18.383,19.096,20.671,18.383,19.096,20.671
3/1/2005,25.36,17.618,19.039,20.348,17.618,19.039,20.348
3/2/2005,25.03,18.311,19.195,20.537,18.311,19.195,20.537
3/3/2005,26.39,18.423,18.749,20.088,18.423,18.749,20.088
3/4/2005,26.29,19.098,19.482,20.555,19.098,19.482,20.555
3/7/2005,26.44,19.443,19.573,20.363,19.443,19.573,20.363
3/8/2005,26.095,19.738,19.892,20.859,19.738,19.892,20.859
3/9/2005,25.945,20.263,20.012,21.139,20.263,20.012,21.139
3/10/2005,26.325,20.058,20.182,21.104,20.058,20.182,21.104
3/11/2005,26.425,20.089,20.103,21.011,20.089,20.103,21.011
3/14/2005,26.28,20.441,20.679,21.371,20.441,20.679,21.371
3/15/2005,26.155,20.594,20.519,21.303,20.594,20.519,21.303
3/16/2005,25.99,20.854,20.936,21.572,20.854,20.936,21.572
3/17/2005,26.495,20.511,20.483,21.378,20.511,20.483,21.378
3/18/2005,26.425,20.773,20.706,21.587,20.773,20.706,21.587
3/21/2005,26.16,21.3,20.99,21.722,21.3,20.99,21.722
3/22/2005,26.225,21.492,21.299,21.921,21.492,21.299,21.921
3/23/2005,26.595,21.444,21.378,21.688,21.444,21.378,21.688
3/24/2005,26.725,21.13,21.291,21.851,21.13,21.291,21.851
3/28/2005,26.575,21.691,21.482,22.088,21.691,21.482,22.088
3/29/2005,26.22,21.89,21.612,22.12,21.89,21.612,22.12
3/30/2005,26.48,21.173,21.259,21.858,21.173,21.259,21.858
3/31/2005,26.31,21.487,21.506,22.001,21.487,21.506,22.001
4/1/2005,25.78,21.907,21.637,22.156,21.907,21.637,22.156
4/4/2005,25.75,22.149,21.822,22.452,22.149,21.822,22.452
4/5/2005,26.19,21.923,21.536,22.158,21.923,21.536,22.158
4/6/2005,26.305,21.916,21.506,22.09,21.916,21.506,22.09
4/7/2005,26.07,21.845,21.749,22.422,21.845,21.749,22.422
4/8/2005,25.825,22.059,21.724,22.537,22.059,21.724,22.537
4/11/2005,26.03,22.006,21.699,22.543,22.006,21.699,22.543
4/12/2005,26.29,21.732,21.585,22.553,21.732,21.585,22.553
4/13/2005,26.105,21.913,21.777,22.496,21.913,21.777,22.496
4/14/2005,26.125,21.73,21.534,22.371,21.73,21.534,22.371
4/15/2005,25.93,22.353,21.863,22.765,22.353,21.863,22.765
4/18/2005,25.865,21.764,21.762,22.582,21.764,21.762,22.582
4/19/2005,26.315,21.717,22.023,22.862,21.717,22.023,22.862
4/20/2005,25.585,22.973,22.992,23.619,22.973,22.992,23.619
4/21/2005,25.715,23.124,22.803,23.587,23.124,22.803,23.587
4/22/2005,25.25,24.336,23.471,24.172,24.336,23.471,24.172
4/25/2005,25.545,24.053,23.21,24.141,24.053,23.21,24.141
4/26/2005,26,22.838,22.584,23.63,22.838,22.584,23.63
4/27/2005,25.95,23.014,22.722,23.816,23.014,22.722,23.816
4/28/2005,25.6,23.309,22.959,23.934,23.309,22.959,23.934
4/29/2005,25.79,23.354,23.204,24.341,23.354,23.204,24.341
5/2/2005,26.245,23.223,23.161,24.3,23.223,23.161,24.3
5/3/2005,26.47,22.204,22.636,23.876,22.204,22.636,23.876
5/4/2005,26.69,22.032,22.414,23.768,22.032,22.414,23.768
5/5/2005,26.95,21.205,22.353,23.349,21.205,22.353,23.349
5/6/2005,26.835,21.227,22.201,23.505,21.227,22.201,23.505
5/9/2005,26.785,21.31,22.055,23.434,21.31,22.055,23.434
5/10/2005,26.625,21.339,22.272,23.573,21.339,22.272,23.573
5/11/2005,26.8,21.376,22.271,23.627,21.376,22.271,23.627
5/12/2005,26.955,21.677,22.208,23.574,21.677,22.208,23.574
5/13/2005,26.855,21.772,22.474,23.499,21.772,22.474,23.499
5/16/2005,27.03,21.922,22.682,23.477,21.922,22.682,23.477
5/17/2005,27.305,20.759,22.158,23.532,20.759,22.158,23.532
5/18/2005,27.5,20.527,21.868,23.264,20.527,21.868,23.264
5/19/2005,27.55,20.348,21.764,23.123,20.348,21.764,23.123
5/20/2005,27.5,20.433,22.037,23.042,20.433,22.037,23.042
5/23/2005,27.575,19.811,21.207,22.809,19.811,21.207,22.809
5/24/2005,27.5,19.663,21.021,22.694,19.663,21.021,22.694
5/25/2005,27.45,18.871,20.789,22.528,18.871,20.789,22.528
5/26/2005,27.485,18.618,20.207,22.298,18.618,20.207,22.298
5/27/2005,27.48,18.596,20.296,22.145,18.596,20.296,22.145
5/31/2005,27.425,18.859,20.479,22.18,18.859,20.479,22.18
6/1/2005,27.54,18.556,20.085,21.904,18.556,20.085,21.904
6/2/2005,28.625,18.476,19.976,21.736,18.476,19.976,21.736
6/3/2005,28.635,18.931,20.288,22.086,18.931,20.288,22.086
6/6/2005,29.03,18.3,19.777,21.809,18.3,19.777,21.809
6/7/2005,29.14,18.601,19.768,21.878,18.601,19.768,21.878
6/8/2005,28.89,19.165,20.58,22.543,19.165,20.58,22.543
6/9/2005,29.04,19.816,20.909,22.658,19.816,20.909,22.658
6/10/2005,29.03,19.207,20.684,22.53,19.207,20.684,22.53
6/13/2005,28.85,19.175,20.668,22.517,19.175,20.668,22.517
6/14/2005,29.14,19.602,21.066,22.771,19.602,21.066,22.771
6/15/2005,29.23,18.918,20.642,22.436,18.918,20.642,22.436
6/16/2005,29.41,19.467,20.374,22.306,19.467,20.374,22.306
6/17/2005,29.54,18.663,20.284,22.252,18.663,20.284,22.252
6/20/2005,29.22,18.758,20.229,22.077,18.758,20.229,22.077
6/21/2005,29.08,19.059,20.642,22.266,19.059,20.642,22.266
6/22/2005,29.2,19.369,20.751,22.354,19.369,20.751,22.354
6/23/2005,28.96,19.295,20.708,22.408,19.295,20.708,22.408
6/24/2005,28.7,20.416,21.228,22.893,20.416,21.228,22.893
6/27/2005,28.58,20.182,21.257,22.704,20.182,21.257,22.704
6/28/2005,29.4,19.366,20.801,22.288,19.366,20.801,22.288
6/29/2005,29.41,19.83,20.89,22.303,19.83,20.89,22.303
6/30/2005,29.07,20.266,20.929,22.39,20.266,20.929,22.39
7/1/2005,29.05,20.095,21.13,22.565,20.095,21.13,22.565
7/5/2005,29.89,20.362,21.073,22.56,20.362,21.073,22.56
7/6/2005,29.47,20.973,21.717,22.93,20.973,21.717,22.93
