Date,1y_Tsy
1/3/2005,2.79
1/4/2005,2.82
1/5/2005,2.83
1/6/2005,2.82
1/7/2005,2.82
1/10/2005,2.86
1/11/2005,2.86
1/12/2005,2.84
1/13/2005,2.84
1/14/2005,2.87
1/18/2005,2.9
1/19/2005,2.88
1/20/2005,2.85
1/21/2005,2.83
1/24/2005,2.86
1/25/2005,2.88
1/26/2005,2.9
1/27/2005,2.91
1/28/2005,2.89
1/31/2005,2.96
2/1/2005,2.95
2/2/2005,2.95
2/3/2005,2.96
2/4/2005,2.93
2/7/2005,2.96
2/8/2005,2.97
2/9/2005,2.93
2/10/2005,2.96
2/11/2005,3
2/14/2005,3.03
2/15/2005,3.03
2/16/2005,3.05
2/17/2005,3.03
2/18/2005,3.09
2/22/2005,3.12
2/23/2005,3.12
2/24/2005,3.13
2/25/2005,3.15
2/28/2005,3.2
3/1/2005,3.2
3/2/2005,3.19
3/3/2005,3.19
3/4/2005,3.2
3/7/2005,3.22
3/8/2005,3.23
3/9/2005,3.24
3/10/2005,3.25
3/11/2005,3.28
3/14/2005,3.32
3/15/2005,3.32
3/16/2005,3.3
3/17/2005,3.29
3/18/2005,3.32
3/21/2005,3.33
3/22/2005,3.4
3/23/2005,3.38
3/24/2005,3.41
3/28/2005,3.43
3/29/2005,3.41
3/30/2005,3.39
3/31/2005,3.35
4/1/2005,3.34
4/4/2005,3.34
4/5/2005,3.34
4/6/2005,3.31
4/7/2005,3.32
4/8/2005,3.35
4/11/2005,3.37
4/12/2005,3.34
4/13/2005,3.32
4/14/2005,3.3
4/15/2005,3.26
4/18/2005,3.29
4/19/2005,3.26
4/20/2005,3.25
4/21/2005,3.31
4/22/2005,3.3
4/25/2005,3.34
4/26/2005,3.35
4/27/2005,3.33
4/28/2005,3.3
4/29/2005,3.33
5/2/2005,3.34
5/3/2005,3.35
5/4/2005,3.32
5/5/2005,3.29
5/6/2005,3.37
5/9/2005,3.4
5/10/2005,3.37
5/11/2005,3.35
5/12/2005,3.34
5/13/2005,3.29
5/16/2005,3.33
5/17/2005,3.32
5/18/2005,3.29
5/19/2005,3.31
5/20/2005,3.35
5/23/2005,3.35
5/24/2005,3.32
5/25/2005,3.32
5/26/2005,3.31
5/27/2005,3.31
5/31/2005,3.32
6/1/2005,3.25
6/2/2005,3.26
6/3/2005,3.28
6/6/2005,3.3
6/7/2005,3.28
6/8/2005,3.3
6/9/2005,3.31
6/10/2005,3.33
6/13/2005,3.38
6/14/2005,3.39
6/15/2005,3.39
6/16/2005,3.38
6/17/2005,3.39
6/20/2005,3.42
6/21/2005,3.42
6/22/2005,3.37
6/23/2005,3.39
6/24/2005,3.38
6/27/2005,3.42
6/28/2005,3.46
6/29/2005,3.44
6/30/2005,3.45
