NKE,,,,,,,
Date,PX_LAST,3MO_PUT_IMP_VOL,6MO_PUT_IMP_VOL,12MO_PUT_IMP_VOL,3MO_CALL_IMP_VOL,6MO_CALL_IMP_VOL,12MO_CALL_IMP_VOL
1/3/2005,11.3363,19.814,20.068,20.21,19.814,20.068,20.21
1/4/2005,11.175,20.101,20.132,20.233,20.101,20.132,20.233
1/5/2005,11.0413,20.488,20.475,20.455,20.488,20.475,20.455
1/6/2005,11.0275,20.579,20.433,20.505,20.579,20.433,20.505
1/7/2005,10.9625,20.858,20.655,20.707,20.858,20.655,20.707
1/10/2005,11.0713,20.718,20.46,20.515,20.718,20.46,20.515
1/11/2005,11.0188,20.959,20.66,20.552,20.959,20.66,20.552
1/12/2005,11.0738,20.608,20.345,20.611,20.608,20.345,20.611
1/13/2005,11.0025,20.787,20.468,20.54,20.787,20.468,20.54
1/14/2005,11.1188,20.345,19.99,20.173,20.345,19.99,20.173
1/18/2005,11.0875,20.554,20.24,20.27,20.554,20.24,20.27
1/19/2005,11.0688,20.383,20.133,20.302,20.383,20.133,20.302
1/20/2005,10.85,20.809,20.398,20.454,20.809,20.398,20.454
1/21/2005,10.7875,20.867,20.325,20.558,20.867,20.325,20.558
1/24/2005,10.7888,20.791,20.276,20.415,20.791,20.276,20.415
1/25/2005,10.7363,20.73,20.536,20.525,20.73,20.536,20.525
1/26/2005,10.6438,20.508,20.434,20.323,20.508,20.434,20.323
1/27/2005,10.8063,20.234,20.056,19.961,20.234,20.056,19.961
1/28/2005,10.8113,20.125,20.108,20.015,20.125,20.108,20.015
1/31/2005,10.8288,19.773,19.658,19.832,19.773,19.658,19.832
2/1/2005,10.8838,19.416,19.437,19.508,19.416,19.437,19.508
2/2/2005,10.8375,19.485,19.5,19.704,19.485,19.5,19.704
2/3/2005,10.825,19.381,19.472,19.893,19.381,19.472,19.893
2/4/2005,10.88,19.05,19.222,19.682,19.05,19.222,19.682
2/7/2005,10.775,19.121,19.392,19.716,19.121,19.392,19.716
2/8/2005,10.4938,19.153,19.168,19.328,19.153,19.168,19.328
2/9/2005,10.4075,19.239,19.491,19.429,19.239,19.491,19.429
2/10/2005,10.495,19.242,19.306,19.539,19.242,19.306,19.539
2/11/2005,10.5813,19.125,19.266,19.436,19.125,19.266,19.436
2/14/2005,10.6513,19.434,19.249,19.476,19.434,19.249,19.476
2/15/2005,10.6613,19.228,18.992,19.189,19.228,18.992,19.189
2/16/2005,10.6788,19.438,19.232,19.327,19.438,19.232,19.327
2/17/2005,10.65,19.553,19.351,19.365,19.553,19.351,19.365
2/18/2005,10.6888,19.219,19.092,19.141,19.219,19.092,19.141
2/22/2005,10.4875,20.12,19.756,19.694,20.12,19.756,19.694
2/23/2005,10.6125,19.652,19.379,19.42,19.652,19.379,19.42
2/24/2005,10.8125,19.481,19.193,19.126,19.481,19.193,19.126
2/25/2005,10.9063,19.335,19.191,19.055,19.335,19.191,19.055
2/28/2005,10.8688,19.906,19.477,19.298,19.906,19.477,19.298
3/1/2005,10.975,19.555,19.188,19.049,19.555,19.188,19.049
3/2/2005,10.9138,20.076,19.393,19.336,20.076,19.393,19.336
3/3/2005,10.9063,20.353,19.548,19.229,20.353,19.548,19.229
3/4/2005,10.95,20.084,19.441,19.137,20.084,19.441,19.137
3/7/2005,10.8975,21.143,19.882,19.654,21.143,19.882,19.654
3/8/2005,10.8125,21.121,19.955,19.76,21.121,19.955,19.76
3/9/2005,10.7838,21.336,20.087,19.626,21.336,20.087,19.626
3/10/2005,10.8363,21.256,20.002,19.602,21.256,20.002,19.602
3/11/2005,10.825,21.653,20.036,19.611,21.653,20.036,19.611
3/14/2005,10.72,22.412,20.462,20.032,22.412,20.462,20.032
3/15/2005,10.8938,22.075,20.314,19.847,22.075,20.314,19.847
3/16/2005,10.805,23.457,20.689,20.218,23.457,20.689,20.218
3/17/2005,10.8538,26.481,24.966,23.294,26.481,24.966,23.294
3/18/2005,10.675,20.676,20.324,19.94,20.676,20.324,19.94
3/21/2005,10.4875,21.042,20.699,20.256,21.042,20.699,20.256
3/22/2005,10.3175,21.441,20.994,20.567,21.441,20.994,20.567
3/23/2005,10.18,21.677,21.08,20.757,21.677,21.08,20.757
3/24/2005,10.4525,19.881,20.054,19.999,19.881,20.054,19.999
3/28/2005,10.4025,20.284,20.35,20.088,20.284,20.35,20.088
3/29/2005,10.2088,20.876,20.657,20.376,20.876,20.657,20.376
3/30/2005,10.2938,20.563,20.515,20.136,20.563,20.515,20.136
3/31/2005,10.4138,20.382,20.265,19.896,20.382,20.265,19.896
4/1/2005,10.375,20.307,20.137,19.923,20.307,20.137,19.923
4/4/2005,10.2625,21.421,20.793,20.297,21.421,20.793,20.297
4/5/2005,10.3863,21.013,20.54,20.088,21.013,20.54,20.088
4/6/2005,10.3363,21.153,20.754,20.275,21.153,20.754,20.275
4/7/2005,10.32,21.104,20.651,20.183,21.104,20.651,20.183
4/8/2005,10.2888,21.014,20.52,20.048,21.014,20.52,20.048
4/11/2005,10.28,20.639,20.552,20.097,20.639,20.552,20.097
4/12/2005,10.295,20.78,20.481,20.004,20.78,20.481,20.004
4/13/2005,9.9688,21.376,20.896,20.416,21.376,20.896,20.416
4/14/2005,9.7513,22.061,21.341,20.789,22.061,21.341,20.789
4/15/2005,9.4825,22.342,21.619,21.07,22.342,21.619,21.07
4/18/2005,9.4913,22.729,21.844,21.418,22.729,21.844,21.418
4/19/2005,9.6788,21.859,21.317,20.922,21.859,21.317,20.922
4/20/2005,9.555,22.021,21.277,20.976,22.021,21.277,20.976
4/21/2005,9.82,21.091,20.681,20.332,21.091,20.681,20.332
4/22/2005,9.7275,21.337,20.99,20.832,21.337,20.99,20.832
4/25/2005,9.7913,21.631,21.255,20.994,21.631,21.255,20.994
4/26/2005,9.7013,21.71,21.291,20.96,21.71,21.291,20.96
4/27/2005,9.7588,21.432,21.132,20.822,21.432,21.132,20.822
4/28/2005,9.6163,21.944,21.646,21.234,21.944,21.646,21.234
4/29/2005,9.6013,22.312,22.348,21.686,22.312,22.348,21.686
5/2/2005,9.64,23.817,23.316,22.576,23.817,23.316,22.576
5/3/2005,9.7188,22.225,22.286,21.803,22.225,22.286,21.803
5/4/2005,9.7063,22.401,22.429,21.872,22.401,22.429,21.872
5/5/2005,9.7175,22.178,22.313,21.642,22.178,22.313,21.642
