SPX,,,,,,,
Date,PX_LAST,3MO_PUT_IMP_VOL,6MO_PUT_IMP_VOL,12MO_PUT_IMP_VOL,3MO_CALL_IMP_VOL,6MO_CALL_IMP_VOL,12MO_CALL_IMP_VOL
1/3/2005,1202.08,13.41,14.1,14.96,13.41,14.1,14.96
1/4/2005,1188.05,13.46,14.28,15.05,13.46,14.28,15.05
1/5/2005,1183.74,13.47,14.26,15.06,13.47,14.26,15.06
1/6/2005,1187.88,12.95,13.78,14.72,12.95,13.78,14.72
1/7/2005,1186.19,12.82,13.72,14.58,12.82,13.72,14.58
1/10/2005,1190.24,12.6,13.47,14.33,12.6,13.47,14.33
1/11/2005,1182.99,12.71,13.49,14.36,12.71,13.49,14.36
1/12/2005,1187.7,12.42,13.18,14.08,12.42,13.18,14.08
1/13/2005,1177.45,12.58,13.42,14.2,12.58,13.42,14.2
1/14/2005,1184.52,12.25,13.09,14,12.25,13.09,14
1/18/2005,1195.98,11.85,12.72,13.69,11.85,12.72,13.69
1/19/2005,1184.63,12.47,13.19,14.07,12.47,13.19,14.07
1/20/2005,1175.41,12.77,13.54,14.32,12.77,13.54,14.32
1/21/2005,1167.87,13.14,13.71,14.43,13.14,13.71,14.43
1/24/2005,1163.75,13.41,13.88,14.49,13.41,13.88,14.49
1/25/2005,1168.41,12.95,13.51,14.23,12.95,13.51,14.23
1/26/2005,1174.07,12.41,13.11,13.91,12.41,13.11,13.91
1/27/2005,1174.55,12.12,12.8,13.56,12.12,12.8,13.56
1/28/2005,1171.36,12.14,12.83,13.6,12.14,12.83,13.6
1/31/2005,1181.27,11.58,12.31,13.17,11.58,12.31,13.17
2/1/2005,1189.41,11.26,12.08,12.95,11.26,12.08,12.95
2/2/2005,1193.18,10.86,11.73,12.71,10.86,11.73,12.71
2/3/2005,1189.89,10.98,11.75,12.69,10.98,11.75,12.69
2/4/2005,1203.03,10.34,11.3,12.35,10.34,11.3,12.35
2/7/2005,1201.72,10.68,11.48,12.4,10.68,11.48,12.4
2/8/2005,1202.3,10.54,11.31,12.23,10.54,11.31,12.23
2/9/2005,1191.99,11.03,11.6,12.44,11.03,11.6,12.44
2/10/2005,1197.01,10.64,11.32,12.16,10.64,11.32,12.16
2/11/2005,1205.3,10.44,11.12,12.03,10.44,11.12,12.03
2/14/2005,1206.14,10.56,11.21,12.06,10.56,11.21,12.06
2/15/2005,1210.12,10.26,10.96,11.81,10.26,10.96,11.81
2/16/2005,1210.34,10.23,10.9,11.84,10.23,10.9,11.84
2/17/2005,1200.75,10.62,11.28,12.17,10.62,11.28,12.17
2/18/2005,1201.59,10.54,11.28,12.18,10.54,11.28,12.18
2/22/2005,1184.16,11.58,12.1,12.98,11.58,12.1,12.98
2/23/2005,1190.8,11.34,12.1,12.96,11.34,12.1,12.96
2/24/2005,1200.2,10.81,11.67,12.7,10.81,11.67,12.7
2/25/2005,1211.37,10.53,11.39,12.47,10.53,11.39,12.47
2/28/2005,1203.6,11.16,11.86,12.75,11.16,11.86,12.75
3/1/2005,1210.41,11.13,11.87,12.79,11.13,11.87,12.79
3/2/2005,1210.08,11.62,12.31,12.98,11.62,12.31,12.98
3/3/2005,1210.47,11.65,12.32,13.11,11.65,12.32,13.11
3/4/2005,1222.12,11.21,11.97,12.75,11.21,11.97,12.75
3/7/2005,1225.31,11.24,11.95,12.73,11.24,11.95,12.73
3/8/2005,1219.43,11.44,12.09,12.8,11.44,12.09,12.8
3/9/2005,1207.01,11.92,12.46,13.08,11.92,12.46,13.08
3/10/2005,1209.25,11.85,12.55,13.16,11.85,12.55,13.16
3/11/2005,1200.08,12.17,12.72,13.37,12.17,12.72,13.37
3/14/2005,1206.83,12.06,12.7,13.33,12.06,12.7,13.33
3/15/2005,1197.75,12.47,12.9,13.48,12.47,12.9,13.48
3/16/2005,1188.07,12.75,13.24,13.83,12.75,13.24,13.83
3/17/2005,1190.21,12.99,13.46,13.99,12.99,13.46,13.99
3/18/2005,1189.64,12.73,13.45,14.06,12.73,13.45,14.06
3/21/2005,1183.79,12.96,13.55,14.18,12.96,13.55,14.18
3/22/2005,1171.71,13.32,13.86,14.39,13.32,13.86,14.39
3/23/2005,1172.53,13.44,14,14.58,13.44,14,14.58
3/24/2005,1171.42,13.12,13.77,14.41,13.12,13.77,14.41
3/28/2005,1174.28,13.09,13.68,14.32,13.09,13.68,14.32
3/29/2005,1165.36,13.64,14.15,14.72,13.64,14.15,14.72
3/30/2005,1181.41,12.91,13.64,14.36,12.91,13.64,14.36
3/31/2005,1180.59,13.01,13.58,14.36,13.01,13.58,14.36
4/1/2005,1172.92,13.35,13.86,14.61,13.35,13.86,14.61
4/4/2005,1176.12,13.38,13.83,14.66,13.38,13.83,14.66
4/5/2005,1181.39,12.95,13.66,14.55,12.95,13.66,14.55
4/6/2005,1184.07,12.63,13.48,14.38,12.63,13.48,14.38
4/7/2005,1191.14,12.25,13.13,14.19,12.25,13.13,14.19
4/8/2005,1181.2,12.31,13.23,14.28,12.31,13.23,14.28
4/11/2005,1181.21,12.46,13.31,14.33,12.46,13.31,14.33
4/12/2005,1187.76,12,12.94,14.05,12,12.94,14.05
4/13/2005,1173.79,12.89,13.56,14.53,12.89,13.56,14.53
4/14/2005,1162.05,13.74,14.28,15.07,13.74,14.28,15.07
4/15/2005,1142.62,15.3,15.5,16.09,15.3,15.5,16.09
4/18/2005,1145.98,14.85,15.28,16.01,14.85,15.28,16.01
4/19/2005,1152.78,13.82,14.48,15.52,13.82,14.48,15.52
4/20/2005,1137.5,14.98,15.44,16.29,14.98,15.44,16.29
4/21/2005,1159.95,13.4,14.3,15.55,13.4,14.3,15.55
4/22/2005,1152.12,13.9,14.77,16.03,13.9,14.77,16.03
4/25/2005,1162.1,13.43,14.33,15.62,13.43,14.33,15.62
4/26/2005,1151.74,13.64,14.47,15.69,13.64,14.47,15.69
4/27/2005,1156.38,13.52,14.43,15.67,13.52,14.43,15.67
4/28/2005,1143.22,14.76,15.36,16.3,14.76,15.36,16.3
4/29/2005,1156.85,14.07,14.84,15.98,14.07,14.84,15.98
5/2/2005,1162.16,13.85,14.72,15.83,13.85,14.72,15.83
5/3/2005,1161.17,13.74,14.55,15.85,13.74,14.55,15.85
5/4/2005,1175.65,12.88,13.99,15.43,12.88,13.99,15.43
5/5/2005,1172.63,12.73,13.74,15.09,12.73,13.74,15.09
5/6/2005,1171.35,12.85,13.77,15.1,12.85,13.77,15.1
5/9/2005,1178.84,12.46,13.47,14.82,12.46,13.47,14.82
5/10/2005,1166.22,13.39,14.21,15.38,13.39,14.21,15.38
