XRX,,,,,,,
Date,PX_LAST,3MO_PUT_IMP_VOL,6MO_PUT_IMP_VOL,12MO_PUT_IMP_VOL,3MO_CALL_IMP_VOL,6MO_CALL_IMP_VOL,12MO_CALL_IMP_VOL
1/3/2005,44.709,26.994,27.324,28.351,26.994,27.324,28.351
1/4/2005,44.0504,27.643,27.273,28.698,27.643,27.273,28.698
1/5/2005,43.181,26.123,26.763,27.976,26.123,26.763,27.976
1/6/2005,42.9966,26.206,26.564,28.251,26.206,26.564,28.251
1/7/2005,42.7594,25.158,26.134,27.622,25.158,26.134,27.622
1/10/2005,42.5223,25.453,25.863,27.606,25.453,25.863,27.606
1/11/2005,42.6014,25.629,26.511,28.124,25.629,26.511,28.124
1/12/2005,42.7068,26.533,27.121,28.741,26.533,27.121,28.741
1/13/2005,42.1798,26.566,26.587,28.52,26.566,26.587,28.52
1/14/2005,42.575,25.852,27.03,28.593,25.852,27.03,28.593
1/18/2005,42.9439,24.92,26.168,28.167,24.92,26.168,28.167
1/19/2005,42.2852,25.945,26.69,28.335,25.945,26.69,28.335
1/20/2005,41.6793,25.382,26.014,27.548,25.382,26.014,27.548
1/21/2005,41.4685,25.108,25.971,27.294,25.108,25.971,27.294
1/24/2005,40.2829,26.376,26.693,28.176,26.376,26.693,28.176
1/25/2005,40.8889,25.508,25.371,27.73,25.508,25.371,27.73
1/26/2005,40.5991,24.95,25.345,27.238,24.95,25.345,27.238
1/27/2005,41.0997,24.609,25.161,26.884,24.609,25.161,26.884
1/28/2005,40.5991,23.998,25.033,26.438,23.998,25.033,26.438
1/31/2005,41.8373,23.502,24.284,25.992,23.502,24.284,25.992
2/1/2005,41.3631,24.08,24.526,26.406,24.08,24.526,26.406
2/2/2005,41.3631,24.386,24.68,26.491,24.386,24.68,26.491
2/3/2005,40.4937,24.905,25.196,26.524,24.905,25.196,26.524
2/4/2005,40.5727,24.153,24.844,26.611,24.153,24.844,26.611
2/7/2005,40.6781,25.022,24.97,26.567,25.022,24.97,26.567
2/8/2005,40.3883,24.368,24.627,26.194,24.368,24.627,26.194
2/9/2005,39.5189,24.312,24.522,25.695,24.312,24.522,25.695
2/10/2005,39.6243,24.783,24.557,26.113,24.783,24.557,26.113
2/11/2005,39.8614,23.836,24.178,25.598,23.836,24.178,25.598
2/14/2005,39.7033,24.079,24.097,25.733,24.079,24.097,25.733
2/15/2005,41.0997,24.046,24.057,25.452,24.046,24.057,25.452
2/16/2005,40.4147,25.392,25.201,26.368,25.392,25.201,26.368
2/17/2005,39.9141,24.995,24.531,26.303,24.995,24.531,26.303
2/18/2005,40.3093,23.277,24.105,25.876,23.277,24.105,25.876
2/22/2005,39.9931,23.425,24.028,25.69,23.425,24.028,25.69
2/23/2005,40.6781,23.428,23.833,25.586,23.428,23.833,25.586
2/24/2005,40.6781,23.57,23.903,25.305,23.57,23.903,25.305
2/25/2005,40.3883,23.393,24.001,26.059,23.393,24.001,26.059
2/28/2005,41.0997,23.018,23.826,25.615,23.018,23.826,25.615
3/1/2005,41.0997,22.762,23.691,25.719,22.762,23.691,25.719
3/2/2005,41.4158,23.159,24.089,25.773,23.159,24.089,25.773
3/3/2005,40.3093,22.325,23.605,25.452,22.325,23.605,25.452
3/4/2005,40.362,23.003,24.193,25.538,23.003,24.193,25.538
3/7/2005,41.2841,22.756,23.615,25.318,22.756,23.615,25.318
3/8/2005,40.7045,22.778,23.627,25.634,22.778,23.627,25.634
3/9/2005,40.2566,22.546,23.692,25.706,22.546,23.692,25.706
3/10/2005,40.3093,23.427,24.303,25.626,23.427,24.303,25.626
3/11/2005,39.7824,23.659,24.863,25.935,23.659,24.863,25.935
3/14/2005,40.7045,23.183,24.306,25.659,23.183,24.306,25.659
3/15/2005,39.7297,23.498,24.178,25.749,23.498,24.178,25.749
3/16/2005,38.8076,24.152,25.26,26.812,24.152,25.26,26.812
3/17/2005,39.0183,24.432,25.465,26.211,24.432,25.465,26.211
3/18/2005,38.8076,23.955,25.227,26.46,23.955,25.227,26.46
3/21/2005,38.0435,24.498,25.171,26.692,24.498,25.171,26.692
3/22/2005,38.7549,24.799,25.587,26.784,24.799,25.587,26.784
3/23/2005,39.071,23.885,24.497,26.065,23.885,24.497,26.065
3/24/2005,39.3608,23.285,24.43,25.913,23.285,24.43,25.913
3/28/2005,39.8614,22.945,24.278,25.909,22.945,24.278,25.909
3/29/2005,39.3345,24.74,25.595,26.725,24.74,25.595,26.725
3/30/2005,40.1249,24.425,25.589,26.54,24.425,25.589,26.54
3/31/2005,39.9141,24.196,25.182,26.128,24.196,25.182,26.128
4/1/2005,39.4399,24.701,25.444,26.346,24.701,25.444,26.346
4/4/2005,40.1775,24.145,25.099,26.046,24.145,25.099,26.046
4/5/2005,39.756,24.482,25.224,26.474,24.482,25.224,26.474
4/6/2005,39.5189,25.553,25.92,26.478,25.553,25.92,26.478
4/7/2005,39.756,24.324,24.937,25.815,24.324,24.937,25.815
4/8/2005,39.3608,25.544,25.548,26.423,25.544,25.548,26.423
4/11/2005,39.2291,25.108,25.246,26.421,25.108,25.246,26.421
